Created by SunData for Windows Mobile v2.0.0.2									
									
Title     :	Sarsense								
Location  :	selhausen								
Latitude  :	50.53N	Longitude :	6.25E						
26-06-19		Local time is GMT+2 Hrs							
SunScan probe v1.02R (C) JGW 2004/01/19									
									
Ext Sensor: BFS		  Leaf Angle Distn Parameter:				1.5	  Leaf Absorption:		0.85
Group   1 :									
									
Time			Trans-	Spread	Incid-	Beam	Zenith	LAI	Notes
			mitted		 ent	frac	Angle		
16:26:10	5	6	635.9	0.79	1507.7	0.85	42.3	1.2	
16:26:12	5	7	872.7	0.59	1505.9	0.85	42.3	0.8	
16:26:14	5	8	889.1	0.59	1505.9	0.85	42.4	0.7	
									
Average of	8	 readings							
  Incident light 		1507.3	  Transmitted fraction:			0.4	   LAI:	1.4	
									
16:28:44	6	1	401.8	1.13	1501	0.85	42.7	1.8	
16:28:48	6	2	460.2	1.13	1498	0.85	42.7	1.6	
16:28:50	6	3	447.7	1.17	1501	0.85	42.7	1.7	
16:28:53	6	4	651.9	0.83	1498	0.85	42.7	1.2	
16:28:55	6	5	711.2	0.82	1499.2	0.85	42.7	1	
									
Average of	5	 readings							
  Incident light 		1499.4	  Transmitted fraction:			0.36	   LAI:	1.5	
									
16:29:15	7	1	594.2	0.94	1499.8	0.85	42.8	1.3	
16:29:17	7	2	605.7	0.93	1499.8	0.85	42.8	1.3	
16:29:19	7	3	589.1	0.92	1504.1	0.85	42.8	1.3	
16:29:21	7	4	489.4	1.07	1504.1	0.85	42.8	1.6	
16:29:23	7	5	514.4	0.93	1499.8	0.85	42.8	1.5	
16:29:24	7	6	510.5	1.02	1499.8	0.85	42.8	1.5	
									
Average of	6	 readings							
  Incident light 		1501.2	  Transmitted fraction:			0.37	   LAI:	1.4	
									
16:29:41	8	1	382.4	1.07	1496.7	0.85	42.9	1.9	
16:29:43	8	2	397.6	1.06	1499.2	0.85	42.9	1.9	
16:29:46	8	3	442.5	1.2	1496.1	0.85	42.9	1.7	
16:29:48	8	4	404.3	1.23	1496.1	0.85	42.9	1.8	
16:29:49	8	5	392.6	1.25	1498	0.85	42.9	1.9	
16:29:53	8	6	260.7	1.68	1498	0.85	42.9	2.4	
16:29:54	8	7	257.8	1.66	1494.9	0.85	42.9	2.5	
16:29:56	8	8	263.5	1.64	1494.9	0.85	42.9	2.4	
									
Average of	8	 readings							
  Incident light 		1496.7	  Transmitted fraction:			0.23	   LAI:	2.1	
									
16:30:24	9	1	409.1	1.2	1494.9	0.85	43	1.8	
16:30:26	9	2	405.4	1.2	1494.9	0.85	43	1.8	
16:30:28	9	3	495	1.01	1494.9	0.85	43	1.5	
16:30:30	9	4	465.4	1.07	1494.9	0.85	43	1.6	
16:30:32	9	5	489.7	1.02	1491.9	0.85	43	1.5	
16:30:33	9	6	554.4	0.93	1491.9	0.85	43	1.4	
16:30:36	9	7	511.3	1	1491.9	0.85	43	1.5	
									
Average of	7	 readings							
  Incident light 		1493.6	  Transmitted fraction:			0.32	   LAI:	1.6	
									
16:31:00	10	1	698.4	0.8	1491.2	0.85	43	1	
16:31:01	10	2	686	0.79	1491.2	0.85	43.1	1.1	
16:31:03	10	3	570.6	0.88	1491.2	0.85	43.1	1.3	
16:31:04	10	4	679.9	0.71	1490	0.85	43.1	1.1	
16:31:06	10	5	797.7	0.63	1490	0.85	43.1	0.9	
16:31:08	10	6	880.8	0.6	1490	0.85	43.1	0.7	
16:31:10	10	7	786.5	0.63	1487	0.85	43.1	0.9	
16:31:11	10	8	778.9	0.65	1487	0.85	43.1	0.9	
